fecha,departamento,codigo_departamento,municipio,codigo_municipio,poblacion,casos
2020/05/04,GUATEMALA,01,GUATEMALA,0101,1205668,8
2020/05/05,GUATEMALA,01,GUATEMALA,0101,1205668,4
2020/05/06,GUATEMALA,01,GUATEMALA,0101,1205668,17
2020/05/07,GUATEMALA,01,GUATEMALA,0101,1205668,12
2020/05/08,GUATEMALA,01,GUATEMALA,0101,1205668,10
2020/05/09,GUATEMALA,01,GUATEMALA,0101,1205668,44
2020/05/10,GUATEMALA,01,GUATEMALA,0101,1205668,16
2020/05/11,GUATEMALA,01,GUATEMALA,0101,1205668,34
2020/05/12,GUATEMALA,01,GUATEMALA,0101,1205668,28
2020/05/13,GUATEMALA,01,GUATEMALA,0101,1205668,65
2020/05/14,GUATEMALA,01,GUATEMALA,0101,1205668,53
2020/05/15,GUATEMALA,01,GUATEMALA,0101,1205668,28
2020/05/16,GUATEMALA,01,GUATEMALA,0101,1205668,35
2020/05/17,GUATEMALA,01,GUATEMALA,0101,1205668,41
2020/05/18,GUATEMALA,01,GUATEMALA,0101,1205668,77
2020/05/19,GUATEMALA,01,GUATEMALA,0101,1205668,85
2020/05/20,GUATEMALA,01,GUATEMALA,0101,1205668,110
2020/05/21,GUATEMALA,01,GUATEMALA,0101,1205668,106
2020/05/22,GUATEMALA,01,GUATEMALA,0101,1205668,202
2020/05/23,GUATEMALA,01,GUATEMALA,0101,1205668,64
2020/05/24,GUATEMALA,01,GUATEMALA,0101,1205668,116
2020/05/25,GUATEMALA,01,GUATEMALA,0101,1205668,125
2020/05/26,GUATEMALA,01,GUATEMALA,0101,1205668,97
2020/05/27,GUATEMALA,01,GUATEMALA,0101,1205668,77
2020/05/28,GUATEMALA,01,GUATEMALA,0101,1205668,61
2020/05/29,GUATEMALA,01,GUATEMALA,0101,1205668,61
2020/05/30,GUATEMALA,01,GUATEMALA,0101,1205668,49
2020/05/31,GUATEMALA,01,GUATEMALA,0101,1205668,55
2020/06/01,GUATEMALA,01,GUATEMALA,0101,1205668,105
2020/06/02,GUATEMALA,01,GUATEMALA,0101,1205668,63
2020/06/03,GUATEMALA,01,GUATEMALA,0101,1205668,99
2020/06/04,GUATEMALA,01,GUATEMALA,0101,1205668,122
2020/06/05,GUATEMALA,01,GUATEMALA,0101,1205668,159
2020/06/06,GUATEMALA,01,GUATEMALA,0101,1205668,116
2020/06/07,GUATEMALA,01,GUATEMALA,0101,1205668,98
2020/06/08,GUATEMALA,01,GUATEMALA,0101,1205668,110
2020/06/09,GUATEMALA,01,GUATEMALA,0101,1205668,103
2020/06/10,GUATEMALA,01,GUATEMALA,0101,1205668,163
2020/06/11,GUATEMALA,01,GUATEMALA,0101,1205668,106
2020/06/12,GUATEMALA,01,GUATEMALA,0101,1205668,103
2020/06/13,GUATEMALA,01,GUATEMALA,0101,1205668,33
2020/06/14,GUATEMALA,01,GUATEMALA,0101,1205668,125
2020/06/15,GUATEMALA,01,GUATEMALA,0101,1205668,157
2020/06/16,GUATEMALA,01,GUATEMALA,0101,1205668,271
2020/06/17,GUATEMALA,01,GUATEMALA,0101,1205668,196
2020/06/18,GUATEMALA,01,GUATEMALA,0101,1205668,248
2020/06/19,GUATEMALA,01,GUATEMALA,0101,1205668,184
2020/06/20,GUATEMALA,01,GUATEMALA,0101,1205668,102
2020/06/21,GUATEMALA,01,GUATEMALA,0101,1205668,99
2020/06/22,GUATEMALA,01,GUATEMALA,0101,1205668,321
2020/06/23,GUATEMALA,01,GUATEMALA,0101,1205668,284
2020/06/24,GUATEMALA,01,GUATEMALA,0101,1205668,126
2020/06/25,GUATEMALA,01,GUATEMALA,0101,1205668,394
2020/06/26,GUATEMALA,01,GUATEMALA,0101,1205668,222
2020/06/27,GUATEMALA,01,GUATEMALA,0101,1205668,241
2020/06/28,GUATEMALA,01,GUATEMALA,0101,1205668,207
2020/06/29,GUATEMALA,01,GUATEMALA,0101,1205668,251
2020/06/30,GUATEMALA,01,GUATEMALA,0101,1205668,408
2020/07/01,GUATEMALA,01,GUATEMALA,0101,1205668,436
2020/07/02,GUATEMALA,01,GUATEMALA,0101,1205668,447
2020/07/03,GUATEMALA,01,GUATEMALA,0101,1205668,464
2020/07/04,GUATEMALA,01,GUATEMALA,0101,1205668,304
2020/07/05,GUATEMALA,01,GUATEMALA,0101,1205668,231
2020/07/06,GUATEMALA,01,GUATEMALA,0101,1205668,346
2020/07/07,GUATEMALA,01,GUATEMALA,0101,1205668,214
2020/07/08,GUATEMALA,01,GUATEMALA,0101,1205668,371
2020/07/09,GUATEMALA,01,GUATEMALA,0101,1205668,351
2020/07/10,GUATEMALA,01,GUATEMALA,0101,1205668,331
2020/07/11,GUATEMALA,01,GUATEMALA,0101,1205668,252
2020/07/12,GUATEMALA,01,GUATEMALA,0101,1205668,112
2020/07/13,GUATEMALA,01,GUATEMALA,0101,1205668,398
2020/07/14,GUATEMALA,01,GUATEMALA,0101,1205668,375
2020/07/15,GUATEMALA,01,GUATEMALA,0101,1205668,281
2020/07/16,GUATEMALA,01,GUATEMALA,0101,1205668,313
2020/07/17,GUATEMALA,01,GUATEMALA,0101,1205668,378
2020/07/18,GUATEMALA,01,GUATEMALA,0101,1205668,192
2020/07/19,GUATEMALA,01,GUATEMALA,0101,1205668,59
2020/07/20,GUATEMALA,01,GUATEMALA,0101,1205668,358
2020/07/21,GUATEMALA,01,GUATEMALA,0101,1205668,379
2020/07/22,GUATEMALA,01,GUATEMALA,0101,1205668,340
2020/07/23,GUATEMALA,01,GUATEMALA,0101,1205668,310
2020/07/24,GUATEMALA,01,GUATEMALA,0101,1205668,427
2020/07/25,GUATEMALA,01,GUATEMALA,0101,1205668,216
2020/07/26,GUATEMALA,01,GUATEMALA,0101,1205668,70
2020/07/27,GUATEMALA,01,GUATEMALA,0101,1205668,424
2020/07/28,GUATEMALA,01,GUATEMALA,0101,1205668,346
2020/07/29,GUATEMALA,01,GUATEMALA,0101,1205668,341
2020/07/30,GUATEMALA,01,GUATEMALA,0101,1205668,248
2020/07/31,GUATEMALA,01,GUATEMALA,0101,1205668,289
2020/08/01,GUATEMALA,01,GUATEMALA,0101,1205668,97
2020/08/02,GUATEMALA,01,GUATEMALA,0101,1205668,60
2020/08/03,GUATEMALA,01,GUATEMALA,0101,1205668,194
2020/08/04,GUATEMALA,01,GUATEMALA,0101,1205668,329
2020/08/05,GUATEMALA,01,GUATEMALA,0101,1205668,238
2020/08/06,GUATEMALA,01,GUATEMALA,0101,1205668,187
2020/08/07,GUATEMALA,01,GUATEMALA,0101,1205668,204
2020/08/08,GUATEMALA,01,GUATEMALA,0101,1205668,104
2020/08/09,GUATEMALA,01,GUATEMALA,0101,1205668,54
2020/08/10,GUATEMALA,01,GUATEMALA,0101,1205668,262
2020/08/11,GUATEMALA,01,GUATEMALA,0101,1205668,223
2020/08/12,GUATEMALA,01,GUATEMALA,0101,1205668,263
2020/08/13,GUATEMALA,01,GUATEMALA,0101,1205668,206
2020/08/14,GUATEMALA,01,GUATEMALA,0101,1205668,137
2020/08/15,GUATEMALA,01,GUATEMALA,0101,1205668,27
2020/08/16,GUATEMALA,01,GUATEMALA,0101,1205668,79
2020/08/17,GUATEMALA,01,GUATEMALA,0101,1205668,151
2020/08/18,GUATEMALA,01,GUATEMALA,0101,1205668,167
2020/08/19,GUATEMALA,01,GUATEMALA,0101,1205668,175
2020/08/20,GUATEMALA,01,GUATEMALA,0101,1205668,227
2020/08/21,GUATEMALA,01,GUATEMALA,0101,1205668,179
2020/08/22,GUATEMALA,01,GUATEMALA,0101,1205668,58
2020/08/23,GUATEMALA,01,GUATEMALA,0101,1205668,28
2020/08/24,GUATEMALA,01,GUATEMALA,0101,1205668,222
2020/08/25,GUATEMALA,01,GUATEMALA,0101,1205668,174
2020/08/26,GUATEMALA,01,GUATEMALA,0101,1205668,221
2020/08/27,GUATEMALA,01,GUATEMALA,0101,1205668,174
2020/08/28,GUATEMALA,01,GUATEMALA,0101,1205668,153
2020/08/29,GUATEMALA,01,GUATEMALA,0101,1205668,59
2020/08/30,GUATEMALA,01,GUATEMALA,0101,1205668,19
2020/08/31,GUATEMALA,01,GUATEMALA,0101,1205668,133
2020/09/01,GUATEMALA,01,GUATEMALA,0101,1205668,119
